x,y
-9.331123828887939453e-01,-3.384243845939636230e-01
-6.746960878372192383e-01,-1.250198483467102051e-01
-1.259749054908752441e+00,-2.241982370615005493e-01
-8.525295853614807129e-01,-3.426901698112487793e-01
-1.181570768356323242e+00,-1.396989971399307251e-01
-1.133371472358703613e+00,-3.799027502536773682e-01
-9.558613300323486328e-01,1.245050355792045593e-01
-8.577513098716735840e-01,-4.024837613105773926e-01
-8.495014905929565430e-01,3.780089691281318665e-02
-1.144144773483276367e+00,4.734460636973381042e-02
-8.104076981544494629e-01,-3.482189178466796875e-01
-7.962836623191833496e-01,-6.868955492973327637e-02
-7.637096047401428223e-01,-9.941692650318145752e-02
-1.095697045326232910e+00,1.017386019229888916e-01
-1.214075207710266113e+00,-2.854920029640197754e-01
-7.712156772613525391e-01,-3.767669498920440674e-01
-1.151988029479980469e+00,-3.341292738914489746e-01
-8.680552840232849121e-01,-4.233467280864715576e-01
-1.305615186691284180e+00,-2.366251945495605469e-01
-7.284650206565856934e-01,-3.238958120346069336e-01
-1.131033539772033691e+00,2.762608602643013000e-02
-7.512594461441040039e-01,1.258204579353332520e-01
-7.275143861770629883e-01,-3.735081553459167480e-01
-1.277154564857482910e+00,-1.935408115386962891e-01
-1.180792331695556641e+00,4.607864096760749817e-02
-8.004454374313354492e-01,-2.530768215656280518e-01
-7.499020099639892578e-01,-5.063724517822265625e-02
-8.400914669036865234e-01,-4.684780538082122803e-01
-9.582527279853820801e-01,-3.623743653297424316e-01
-1.013491511344909668e+00,1.123581230640411377e-01
-8.322963118553161621e-01,-3.475335240364074707e-02
-1.286275386810302734e+00,-6.624749302864074707e-02
-8.972198963165283203e-01,-3.379853665828704834e-01
-9.399670362472534180e-01,9.278760850429534912e-02
-1.034993529319763184e+00,-3.289122581481933594e-01
-7.739257216453552246e-01,2.601441368460655212e-02
-8.041129112243652344e-01,-8.586529642343521118e-02
-1.315982460975646973e+00,-1.908479183912277222e-01
-8.280992507934570312e-01,-3.351307213306427002e-01
-1.040084600448608398e+00,3.753975406289100647e-02
-1.309478759765625000e+00,-2.104806900024414062e-01
-1.237013220787048340e+00,-2.241906523704528809e-01
-8.607240319252014160e-01,8.235938847064971924e-02
-8.322712779045104980e-01,-3.535827398300170898e-01
-7.125577330589294434e-01,-1.602881252765655518e-01
-1.057135224342346191e+00,-4.689393043518066406e-01
-9.090554118156433105e-01,4.403582960367202759e-02
-6.581133604049682617e-01,-1.949100792407989502e-01
-8.280725479125976562e-01,-3.677537199109792709e-03
-9.187882542610168457e-01,-4.492145776748657227e-01
-8.099291324615478516e-01,-3.480655550956726074e-01
-1.303656458854675293e+00,-2.228010892868041992e-01
-1.062200427055358887e+00,-4.976143687963485718e-02
-1.315667033195495605e+00,1.778412982821464539e-02
-1.107928037643432617e+00,4.439738020300865173e-02
-1.241820096969604492e+00,-1.447819471359252930e-01
-1.006114244461059570e+00,-4.589566588401794434e-01
-7.496117353439331055e-01,-3.369109928607940674e-01
-7.745995521545410156e-01,-3.295806348323822021e-01
